"","","","","","","","",""
"Endgültiges Ergebnis der Europawahl 2014 in den Hamburger Stadtteilen 1","","","","","","","",""
"Wahlbeteiligung und Stimmenanteile ausgewählter Parteien in Prozent","","","","","","","",""
" ","","","","","","","",""
"Bezirk/Stadtteil","Wahlbe-
teiligung","CDU","SPD","GRÜNE","FDP","DIE LINKE","AfD","Übrige"
"","","","","","","","",""
"","","","","","","","",""
"","Bezirk Hamburg-Mitte","","","","","","",""
"Hamburg-Altstadt","43.2351","19.7674","27.6163","22.093","5.23256","12.2093","5.23256","7.84884"
"HafenCity","58.2657","29.5316","28.7169","18.9409","9.5723","4.48065","6.10998","2.64766"
"Neustadt","47.0428","14.7425","30.2309","26.5719","3.12611","13.2149","4.68917","7.42451"
"St. Pauli","46.2839","6.92895","20.3171","31.0433","1.44842","25.6802","3.09258","11.4895"
"St. Georg","51.7746","15.0162","27.5162","27.8815","4.26136","13.1899","3.85552","8.27922"
"Hammerbrook","38.2451","8.25688","18.6544","31.1927","1.22324","19.2661","3.97554","17.4312"
"Borgfelde","40.9688","18.7814","32.8315","20.0","2.72401","9.96416","5.16129","10.5376"
"Hamm","39.886","17.1114","33.3549","18.9767","2.15026","12.4223","5.9456","10.0389"
"Horn","30.2698","20.5708","39.2837","10.8217","1.58973","10.7068","7.75713","9.27025"
"Billstedt","27.9628","23.3646","43.9148","7.3783","1.62272","8.83621","8.03753","6.84584"
"Billbrook","18.03","20.6349","28.5714","12.6984","3.1746","20.6349","3.1746","11.1111"
"Rothenburgsort","27.7025","17.4074","37.963","12.037","2.12963","13.7963","5.55556","11.1111"
"Veddel","38.4001","8.43806","29.4434","22.9803","1.43627","19.2101","2.51346","15.9785"
"Wilhelmsburg/Steinwerder","30.3852","17.0377","37.8075","14.9289","1.52301","14.1757","5.03766","9.48954"
"Kleiner Grasbrook","38.0918","3.10881","13.9896","24.8705","1.03627","28.4974","2.59067","25.9067"
"Waltershof/Finkenwerder","40.496","21.944","42.4024","12.7334","1.86757","8.57385","5.85739","6.62139"
"Bezirk Hamburg-Mitte ohne Briefwahl","x","17.4281","34.7493","17.4758","2.09328","13.3256","5.7639","9.16405"
"Bezirk Hamburg-Mitte mit Briefwahl","34.6309","18.9373","34.3824","17.3324","2.35292","12.3326","5.94422","8.71819"
"","Bezirk Altona","","","","","","",""
"Altona-Altstadt","46.0378","8.73093","25.5274","31.3048","1.52548","20.172","3.09964","9.63973"
"Sternschanze","47.7273","6.91643","18.1556","38.098","1.5562","24.2651","1.32565","9.683"
"Altona-Nord","48.627","7.5927","25.7014","34.0004","1.2164","20.4826","2.29547","8.71101"
"Ottensen","55.5536","9.29865","29.3913","33.8037","2.06403","16.1226","2.47473","6.84499"
"Bahrenfeld","46.919","13.5041","32.7166","26.1385","2.2296","14.0734","3.38393","7.95383"
"Groß Flottbek","63.3654","30.4998","28.0857","20.3332","7.61646","4.82829","4.69228","3.94424"
"Othmarschen","62.47","32.09","26.791","17.7916","9.47306","4.85494","5.74304","3.25636"
"Lurup","32.2809","21.173","43.4592","10.3579","1.66998","10.2584","6.36183","6.71968"
"Osdorf","43.056","27.8486","34.3537","14.0306","4.44303","7.71684","6.69643","4.91071"
"Nienstedten","62.5951","39.339","23.8273","16.6311","9.86141","3.03838","4.47761","2.82516"
"Blankenese","62.4252","37.0835","25.5483","16.0068","8.74395","3.07605","6.94959","2.59185"
"Iserbrook","50.9372","23.4035","37.5439","17.0175","3.61404","7.47368","5.47368","5.47368"
"Sülldorf","52.2723","25.7569","35.0722","18.3978","3.53982","6.00838","5.86865","5.35631"
"Rissen","58.6118","32.6041","31.394","14.0796","5.81801","5.28276","6.53945","4.28206"
